ID,year,author,bad_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_gloss,bad_translation,good_num,good_diacritic,good_sentence_raw,good_sentence,good_gloss,good_translation,type,phenomenon,phenomenon-2,paradigm
0,2006,takahashi,14a,?*,太郎が昨日会った人を探しているのは花子にだ。,太郎が昨日会った人を探しているのは花子にだ。,Taroo-Nom yesterday saw person-Acc looks-for that-Top Hanako-Dat is.,‘?*It is Hanako that Taroo is looking for the person that saw yesterday.’,,g,,太郎が昨日花子に会った人を探しているのだ。,Taroo-Nom yesterday Hanako-Dat saw person-Acc looks-for.,,acceptability,island effects,,complex NP island
1,2006,takahashi,14b,?*,太郎が読んだから花子が怒ったのはその本をだ。,太郎が読んだから花子が怒ったのはその本をだ。,Taroo-Nom read because Hanako-Nom got-angry that-Top that book-Acc is,‘?*It was that book that Hanako got angry because Taroo read.’,,g,,太郎がその本を読んだから花子が怒ったのだ。,Taroo-Nom that book-Acc read because Hanako-Nom got-angry,,acceptability,island effects,,adjunct island
2,2006,takahashi,16a,?*,初めてそいつに会う人がけなすのは誰をですか？,初めてそいつに会う人がけなすのは誰をですか？,for-the-ﬁrst-time him-Dat see person-Nom criticize that-Top who-Acc is Q,‘?*Who is it that people who see him for the ﬁrst time criticize?’,17a,g,初めて会う人がけなすのは誰をですか？,初めて会う人がけなすのは誰をですか？,for-the-first-time see person-Nom criticize that-Top who-Acc is Q,‘Who is it that people who see e for the first time criticize t?’,coreference,binding,,weak crossover
3,2006,takahashi,16b,?*,それを読んだ学生がうんざりしたのはどの論文にですか？,それを読んだ学生がうんざりしたのはどの論文にですか？,it-Acc read student-Nom got-bored-with that-Top which paper-Dat is Q,‘?*Which paper was it that the student who read it got bored with?’,17b,g,読んだ学生がうんざりしたのはどの論文にですか？,読んだ学生がうんざりしたのはどの論文にですか？,read student-Nom got-bored-with that-Top which paper-Dat is Q,‘Which paper was it that the student who read e got bored with t?’,coreference,binding,,weak crossover
4,2006,takahashi,18aii,*,太郎が花子を会う。,太郎が花子を会う。,Taroo-Nom Hanako-Acc see,‘Taroo sees Hanako.’,18ai,g,太郎が花子に会う。,太郎が花子に会う。,Taroo-Nom Hanako-Dat see,‘Taroo sees Hanako.’,acceptability,argument structure,,case
5,2006,takahashi,18bii,*,太郎が花子にけなす。,太郎が花子にけなす。,Taroo-Nom Hanako-Dat criticize,‘Taroo criticizes Hanako.’,18bi,g,太郎が花子をけなす。,太郎が花子をけなす。,Taroo-Nom Hanako-Acc criticize,‘Taroo criticizes Hanako.’,acceptability,argument structure,,case
6,2006,takahashi,18cii,*,太郎がその本に読んだ。,太郎がその本に読んだ。,Taroo-Nom that book-Dat read,‘Taroo read that book.’,18ci,g,太郎がその本を読んだ。,太郎がその本を読んだ。,Taroo-Nom that book-Acc read,‘Taroo read that book.’,acceptability,argument structure,,case
7,2006,takahashi,18dii,*,太郎がその本をうんざりした。,太郎がその本をうんざりした。,Taroo-Nom that book-Acc got-bored-with,‘Taroo got bored with that book.’,18di,g,太郎がその本にうんざりした。,太郎がその本にうんざりした。,Taroo-Nom that book-Dat got-bored-with,‘Taroo got bored with that book.’,acceptability,argument structure,,case
8,2006,takahashi,19a,?*,初めて会う人がけなすのは誰にですか？,初めて会う人がけなすのは誰にですか？,,,17a,g,初めて会う人がけなすのは誰をですか？,初めて会う人がけなすのは誰をですか？,for-the-first-time see person-Nom criticize that-Top who-Acc is Q,‘Who is it that people who see e for the first time criticize t?’,acceptability,island effects,argument structure,complex NP island
9,2006,takahashi,19b,?*,読んだ学生がうんざりしたのはどの論文をですか？,読んだ学生がうんざりしたのはどの論文をですか？,,,17b,g,読んだ学生がうんざりしたのはどの論文にですか？,読んだ学生がうんざりしたのはどの論文にですか？,read student-Nom got-bored-with that-Top which paper-Dat is Q,‘Which paper was it that the student who read e got bored with t?’,acceptability,island effects,argument structure,complex NP island
10,2006,takahashi,20a,?*,初めて会う人が誰をけなしますか？,初めて会う人が誰をけなしますか？,for-the-first-time see person-Nom who-Acc criticize Q,‘Who do people who see for the first time criticize?’,17a,g,初めて会う人がけなすのは誰をですか？,初めて会う人がけなすのは誰をですか？,for-the-first-time see person-Nom criticize that-Top who-Acc is Q,‘Who is it that people who see e for the first time criticize t?’,acceptability,ellipsis,,parasitic-gap
11,2006,takahashi,20b,?*,読んだ学生がどの論文にうんざりしたの？,読んだ学生がどの論文にうんざりしたの？,read student-Nom which paper-Dat got-bored-with Q,‘Which paper did the student who read got bored with?’,17b,g,読んだ学生がうんざりしたのはどの論文にですか？,読んだ学生がうんざりしたのはどの論文にですか？,read student-Nom got-bored-with that-Top which paper-Dat is Q,‘Which paper was it that the student who read e got bored with t?’,acceptability,ellipsis,,parasitic-gap
12,2006,takahashi,22bi,?*,初めてそいつに会った人が誰もをけなした。,初めてそいつに会った人が誰もをけなした。,for-the-first-time him-Dat saw person-Nom everyone-Acc criticized,‘The person who saw him for the first time criticized everyone.’,22ai,g,初めてそいつに会った人が太郎をけなした。,初めてそいつに会った人が太郎をけなした。,for-the-first-time him-Dat saw person-Nom Taroo-Acc criticized,‘The person who saw him for the first time criticized Taroo.’,coreference,binding,,weak crossover
13,2006,takahashi,22bii,?*,初めて会った人が誰もをけなした。,初めて会った人が誰もをけなした。,for-the-first-time him saw person-Nom everyone-Acc criticized,‘The person who saw him for the first time criticized everyone.’,22aii,g,初めて会った人が太郎をけなした。,初めて会った人が太郎をけなした。,for-the-first-time him saw person-Nom Taroo-Acc criticized,‘The person who saw him for the first time criticized Taroo.’,coreference,binding,,weak crossover
14,2006,takahashi,22ci,?*,初めてそいつに会った人が誰をけなしたの？,初めてそいつに会った人が誰をけなしたの？,for-the-first-time him-Dat saw person-Nom who-Acc criticized Q,‘Who did the person who saw him for the first time criticize?’,22ai,g,初めてそいつに会った人が太郎をけなしたの？,初めてそいつに会った人が太郎をけなしたの？,for-the-first-time him-Dat saw person-Nom Taroo-Acc criticized Q,‘Did the person who saw him for the first time criticize Taroo?’,coreference,binding,,weak crossover
15,2006,takahashi,22cii,?*,初めて会った人が誰をけなしたの？,初めて会った人が誰をけなしたの？,for-the-first-time him saw person-Nom who-Acc criticized Q,‘Who did the person who saw him for the first time criticize?’,22aii,g,初めて会った人が太郎をけなしたの？,初めて会った人が太郎をけなしたの？,for-the-first-time him saw person-Nom Taroo-Acc criticized Q,‘Dit the person who saw him for the first time criticize Taroo?’,coreference,binding,,weak crossover
16,2006,takahashi,26a,?*,花子が何度もそいつに会っていたから泣き出した女性が好きだったのは誰をですか？,花子が何度もそいつに会っていたから泣き出した女性が好きだったのは誰をですか？,Hanako-Nom many-times him-Dat saw because cry-began woman-Nom liked that-Top who-Acc is Q,‘Who was it that the woman who began to cry because Hanako saw him many times liked t?’,24,g,花子が何度も会っていたから泣き出した女性が好きだったのは誰をですか？,花子が何度も会っていたから泣き出した女性が好きだったのは誰をですか？,Hanako-Nom many-times saw because cry-began woman-Nom liked that-Top who-Acc is Q,‘Who was it that the woman who began to cry because Hanako saw e many times liked t?’,coreference,binding,,weak crossover
17,2006,takahashi,26b,?*,それを読んだ学生を褒めた先生がうんざりしていたのはどの論文にですか？,それを読んだ学生を褒めた先生がうんざりしていたのはどの論文にですか？,it-Acc read student-Acc praised teacher-Nom had-gotten-bored-with that-Top which paper-Dat is Q,‘Which paper was it that the teacher who praised the student who read it had gotten bored with t?’,25,g,読んだ学生を褒めた先生がうんざりしていたのはどの論文にですか？,読んだ学生を褒めた先生がうんざりしていたのはどの論文にですか？,read student-Acc praised teacher-Nom had-gotten-bored-with that-Top which paper-dat is Q,‘Which paper was it that the teacher who praised the student who read e had gotten bored with t?’,coreference,binding,,weak crossover
18,2006,takahashi,57i,*,太郎を解雇した人が花子も解雇しようとしているのはなぜですか？,太郎を解雇した人が花子も解雇しようとしているのはなぜですか？,Taroo-Acc fired person-Nom Hanako-also fire-to is-trying that-Top why is Q,‘Why is it that the person who fired Taroo e is trying to fire Hanako t?’,,,,太郎が花子を解雇しようとしているのはなぜですか？,Taroo-Nom Hanako-Acc fire-to is-trying that-Top why is Q,‘Why is it that Taroo  is trying to fire Hanako ?’,interpretation,ellipsis,,parasitic-gap
19,2006,takahashi,58,*,その定理を証明した人がこの定理も証明したのはどうやってですか？,その定理を証明した人がこの定理も証明したのはどうやってですか？,that theorem-Acc proved person-Nom shis theorem-also proved that-Top how is Q,"‘How was it that the person who proved that theorem e
 proved this theorem t?’",,,,その人がこの定理を証明したのはどうやってですか？,that person-Nom shis theorem-Acc proved that-Top how is Q,‘How was it that that person proved this theorem?’,interpretation,ellipsis,,parasitic-gap
20,2006,takahashi,59,*,太郎がその理由で解雇された後で、花子も解雇された。,太郎がその理由で解雇された後で、花子も解雇された。,Taroo-Nom that reason for was-fired after Hanako-also was-fired,"‘After Taroo was fired for that reason, Hanako was fired too.’",,,,太郎がその理由で解雇された後で、花子もその理由で解雇された。,Taroo-Nom that reason for was-fired after Hanako-also that reason for was-fired,"‘After Taroo was fired for that reason, Hanako was fired for that reason too.’",interpretation,ellipsis,,adjunct ellipsis
21,2006,takahashi,60,*,太郎がその方法であの定理を証明した後で、花子はこの定理を証明した。,太郎がその方法であの定理を証明した後で、花子はこの定理を証明した。,Taroo-Nom that way in that theorem-Acc proved after Hanako-Top this theorem-Acc proved,"‘After Taroo proved that theorem in that way, Hanako proved this theorem.’",,,,太郎がその方法であの定理を証明した後で、花子はその方法でこの定理を証明した。,Taroo-Nom that way in that theorem-Acc proved after Hanako-Top this theorem-Acc that way inproved,"‘After Taroo proved that theorem in that way, Hanako proved this theorem in that way.’",interpretation,ellipsis,,adjunct ellipsis
22,2006,oshima,30ii,??,このドアが太郎に開けられた。,このドアが太郎に開けられた。,this door-Nom Taro-Dat open-Pass-Past,‘This door was opened by Taro.’,30i,g,このドアが太郎によって開けられた。,このドアが太郎によって開けられた。,this door-Nom Taro-by open-Pass-Past,‘This door was opened by Taro.’,acceptability,argument structure,,passive
23,2006,oshima,32b,*,その寺は9世紀前半空海に建てられた。,その寺は翌年空海に建てられた。,that temple-Top ninth.century-first.half Kukai-Dat build-Pass-Past,‘That temple was built/founded by Priest Kukai in the first half of the ninth century.’ (intended),,,,その寺は翌年空海に焼き払われた。,that temple-Top next.year Kukai-Dat burn.down-Pass-Past,‘That temple was burned down by Priest Kukai in the next year.’,acceptability,argument structure,,passive
24,2006,tenny,1ii,*,あなたは寒いです。,あなたは寒いです。,you Top cold Cop-Pres,‘You are cold.’,1i,g,私は寒いです。,私は寒いです。,I Top cold Cop-Pres,‘I am cold.’,acceptability,verbal agreement,,person constraint
25,2006,tenny,1iii,*,彼は寒いです。,彼は寒いです。,he Top cold Cop-Pres,‘He is cold.’,1i,g,私は寒いです。,私は寒いです。,I Top cold Cop-Pres,‘I am cold.’,acceptability,verbal agreement,,person constraint
26,2006,tenny,2ii,*,あなたは寂しいです。,あなたは寂しいです。,you Top lonely Cop-Pres,‘You are lonely.’,2i,g,私は寂しいです。,私は寂しいです。,I Top lonely Cop-Pres,‘I am lonely.’,acceptability,verbal agreement,,person constraint
27,2006,tenny,2iii,*,彼は寂しいです。,彼は寂しいです。,he Top lonely Cop-Pres,‘He is lonely.’,2i,g,私は寂しいです。,私は寂しいです。,I Top lonely Cop-Pres,‘I am lonely.’,acceptability,verbal agreement,,person constraint
28,2006,tenny,3i,*,私は寒いですか？,私は寒いですか？,I Top cold Cop-question,‘Am I cold?’,3ii,g,あなたは寒いですか？,あなたは寒いですか？,you Top cold Cop-question,‘Are you cold?’,acceptability,verbal agreement,,person constraint
29,2006,tenny,3iii,*,彼は寒いですか？,彼は寒いですか？,he Top cold Cop-question,Is he cold?’,3ii,g,あなたは寒いですか？,あなたは寒いですか？,you Top cold Cop-question,‘Are you cold?’,acceptability,verbal agreement,,person constraint
30,2006,tenny,4i,*,私は寂しいですか？,私は寂しいですか？,I Top lonely Cop-question,‘Am I lonely?’,4ii,g,あなたは寂しいですか？,あなたは寂しいですか？,you Top lonely Cop-question,‘Are you lonely?’,acceptability,verbal agreement,,person constraint
31,2006,tenny,4iii,*,彼は寂しいですか？,彼は寂しいですか？,he Top lonely Cop-question,‘Am I lonely?’ / ‘Are you lonely?’ / *‘Is he lonely?’,4ii,g,あなたは寂しいですか？,あなたは寂しいですか？,you Top lonely Cop-question,‘Are you lonely?’,acceptability,verbal agreement,,person constraint
32,2006,tenny,8,*,メアリーは寂しいよ。,メアリーは寂しいよ。,Top lonely-PRESENT -YO,‘Mary is lonely -YO.’,,,,私は寂しいよ。,I Top lonely-PRESENT-YO,I am lonly-YO.',acceptability,verbal agreement,,person constraint
